Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
seckill voucher,100,2,1,6,0.58,0.000%,20.19386,4.22,4.46,214.0
TOTAL,100,2,1,6,0.58,0.000%,20.19386,4.22,4.46,214.0
