Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
seckill voucher,1000,0,1,1,1,2,0,3,0.000%,200.36065,42.22,44.22
TOTAL,1000,0,1,1,1,2,0,3,0.000%,200.36065,42.22,44.22
